compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,scenario,0.compound_pec,0.compound_name
6.0,37.01,6.0,6.0,0.92058,0.00046,450.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.8992028364280936e-15,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,500.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,7.667931546842323e-17,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,550.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,2.159013218411854e-18,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,600.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,6.658811073129001e-20,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,650.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,700.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,750.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,800.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,850.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,900.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
6.0,37.01,6.0,6.0,0.92058,0.00046,950.0,300.0,Compound 1339381305937195444,0.0,20.0,0.00017,110.7581,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,Scenario.C,0.0,Compound 1339381305937195444
